Score,,ss,,Num of CPU Cores,Num of GPU Cores,Score,Adjusted Score,,,,,,,,,,,,,
3,,AMD A10-Series 9600P ,,4,6,4.6,3,TRUE,,,Score,Adjusted Score,,,,,,,,
3,,AMD A10-Series 9620P ,,4,6,4.6,3,TRUE,,,4.6,3,,,,,,,,
3,,AMD A10-Series A10-9620P ,,4,6,4.6,3,TRUE,,,4,2,,,,,,,,
3,,AMD A12-Series 9700P ,,4,6,4.6,3,TRUE,,,2.3,1,,,,,,,,
3,,AMD A12-Series 9720P ,,4,6,4.6,3,TRUE,,,5.2,4,,,,,,,,
2,,AMD A4-Series 7210 ,,4,4,4,2,TRUE,,,6,4,,,,,,,,
2,,AMD A6-Series 7310 ,,4,4,4,2,TRUE,,,8,4,,,,,,,,
2,,AMD A6-Series 9220 ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD A6-Series A6-9220 ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD A8-Series 7410 ,,4,4,4,2,TRUE,,,,,,,,,,,,
1,,AMD A9-Series 9410 ,,2,3,2.3,1,TRUE,,,,,,,,,,,,
1,,AMD A9-Series 9420 ,,2,3,2.3,1,TRUE,,,,,,,,,,,,
1,,AMD A9-Series A9-9420 ,,2,3,2.3,1,TRUE,,,,,,,,,,,,
2,,AMD E-Series 6110 ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD E-Series 7110 ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD E-Series 9000 ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD E-Series 9000e ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD E-Series E2-6110 ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD E-Series E2-9000 ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD E-Series E2-9000e ,,4,4,4,2,TRUE,,,,,,,,,,,,
2,,AMD FX 8800P ,,4,4,4,2,TRUE,,,,,,,,,,,,
4,,AMD FX 9830P ,,4,8,5.2,4,TRUE,,,,,,,,,,,,
4,,AMD Ryzen 1600 ,,6,6,6,4,TRUE,,,1,2,3,2,,,,,,
4,,AMD Ryzen 1700 ,,8,8,8,4,TRUE,,Num of CPU cores,i3,i5,i7,Others,Score,Adjusted Score,,,,
3,,Intel Atom x5-Z8300 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Atom x5-Z8350 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Atom X5-Z8350 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,Score,Adjusted Score
3,,Intel Atom x5-Z8550 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,3.4,3
3,,Intel Atom Z8350 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,1.7,1
3,,Intel Celeron Dual Core 3205U ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,2,1
3,,Intel Celeron Dual Core 3855U ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,2.3,2
3,,Intel Celeron Dual Core N3050 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,3.7,4
3,,Intel Celeron Dual Core N3060 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Celeron Dual Core N3350 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Celeron Quad Core N3160 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Celeron Quad Core N3450 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Celeron Quad Core N3710 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
1,,Intel Core i3 6006U ,,,,,,,,2,1,0,0,0,1.7,1,TRUE,,,
1,,Intel Core i3 6100U ,,,,,,,,2,1,0,0,0,1.7,1,TRUE,,,
1,,Intel Core i3 7100U ,,,,,,,,2,1,0,0,0,1.7,1,TRUE,,,
1,,Intel Core i3 7130U ,,,,,,,,2,1,0,0,0,1.7,1,TRUE,,,
3,,Intel Core i5 ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
1,,Intel Core i5 6200U ,,,,,,,,2,0,2,0,0,2,1,TRUE,,,
1,,Intel Core i5 6260U ,,,,,,,,2,0,2,0,0,2,1,TRUE,,,
3,,Intel Core i5 6300HQ ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
3,,Intel Core i5 6300U ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
3,,Intel Core i5 6440HQ ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
1,,Intel Core i5 7200U ,,,,,,,,2,0,2,0,0,2,1,TRUE,,,
3,,Intel Core i5 7300HQ ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
3,,Intel Core i5 7300U ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
3,,Intel Core i5 7440HQ ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
3,,Intel Core i5 7500U ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
1,,Intel Core i5 7Y54 ,,,,,,,,2,0,2,0,0,2,1,TRUE,,,
1,,Intel Core i5 7Y57 ,,,,,,,,2,0,2,0,0,2,1,TRUE,,,
3,,Intel Core i5 8250U ,,,,,,,,4,0,2,0,0,3.4,3,TRUE,,,
4,,Intel Core i7 ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
2,,Intel Core i7 6500U ,,,,,,,,2,0,0,3,0,2.3,2,TRUE,,,
2,,Intel Core i7 6560U ,,,,,,,,2,0,0,3,0,2.3,2,TRUE,,,
2,,Intel Core i7 6600U ,,,,,,,,2,0,0,3,0,2.3,2,TRUE,,,
4,,Intel Core i7 6700HQ ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 6820HK ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 6820HQ ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 6920HQ ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
2,,Intel Core i7 7500U ,,,,,,,,2,0,0,3,0,2.3,2,TRUE,,,
2,,Intel Core i7 7560U ,,,,,,,,2,0,0,3,0,2.3,2,TRUE,,,
2,,Intel Core i7 7600U ,,,,,,,,2,0,0,3,0,2.3,2,TRUE,,,
2,,Intel Core i7 7660U ,,,,,,,,2,0,0,3,0,2.3,2,TRUE,,,
4,,Intel Core i7 7700HQ ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 7820HK ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 7820HQ ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 7Y75 ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 8550U ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
4,,Intel Core i7 8650U ,,,,,,,,4,0,0,3,0,3.7,4,TRUE,,,
3,,Intel Core M ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M 6Y30 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M 6Y54 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M 6Y75 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M 7Y30 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M M3-6Y30 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M m3-7Y30 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M m3 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M m7-6Y75 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Core M M7-6Y75 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
1,,Intel Pentium Dual Core 4405U ,,,,,,,,2,0,0,0,2,2,1,TRUE,,,
1,,Intel Pentium Dual Core 4405Y ,,,,,,,,2,0,0,0,2,2,1,TRUE,,,
3,,Intel Pentium Dual Core N4200 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Pentium Quad Core N3700 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Pentium Quad Core N3710 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
1,,Intel Pentium Quad Core N4200 ,,,,,,,,2,0,0,0,2,2,1,TRUE,,,
3,,Intel Xeon E3-1505M V6 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Xeon E3-1535M v5 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Intel Xeon E3-1535M v6 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
3,,Samsung Cortex A72&A53 ,,,,,,,,4,0,0,0,2,3.4,3,TRUE,,,
