Score,,ss2, Score ,Adjusted Score,,,,,Score,Adjusted Score
1,,0.9GHz, 1.0 ,1,TRUE,,,1, 1 ,1
1,,1.0GHz, 2.2 ,1,TRUE,,,2.2, 2 ,1
1,,1.1GHz, 3.4 ,1,TRUE,,,3.4, 3 ,1
1,,1.2GHz, 4.6 ,1,TRUE,,,4.6, 5 ,1
1,,1.3GHz, 5.8 ,1,TRUE,,,5.8, 6 ,1
1,,1.44GHz, 7.0 ,1,TRUE,,,7, 7 ,1
1,,1.5GHz, 8.2 ,1,TRUE,,,8.2, 8 ,1
1,,1.60GHz, 9.4 ,1,TRUE,,,9.4, 9 ,1
2,,1.6GHz, 10.6 ,2,TRUE,,,10.6, 11 ,2
2,,1.8GHz, 11.8 ,2,TRUE,,,11.8, 12 ,2
2,,1.92GHz, 13.0 ,2,TRUE,,,13, 13 ,2
2,,1.9GHz, 14.2 ,2,TRUE,,,14.2, 14 ,2
2,,2.0GHz, 15.4 ,2,TRUE,,,15.4, 15 ,2
2,,2.1GHz, 16.6 ,2,TRUE,,,16.6, 17 ,2
2,,2.2GHz, 17.8 ,2,TRUE,,,17.8, 18 ,2
2,,2.3GHz, 19.0 ,2,TRUE,,,19, 19 ,2
3,,2.4GHz, 20.2 ,3,TRUE,,,20.2, 20 ,3
3,,2.50GHz, 21.4 ,3,TRUE,,,21.4, 21 ,3
3,,2.5GHz, 22.6 ,3,TRUE,,,22.6, 23 ,3
3,,2.6GHz, 23.8 ,3,TRUE,,,23.8, 24 ,3
3,,2.70GHz, 25.0 ,3,TRUE,,,25, 25 ,3
3,,2.7GHz, 26.2 ,3,TRUE,,,26.2, 26 ,3
3,,2.8GHz, 27.4 ,3,TRUE,,,27.4, 27 ,3
3,,2.9GHz, 28.6 ,3,TRUE,,,28.6, 29 ,3
4,,2GHz, 29.8 ,4,TRUE,,,29.8, 30 ,4
4,,3.1GHz, 31.0 ,4,TRUE,,,31, 31 ,4
4,,3.2GHz, 32.2 ,4,TRUE,,,32.2, 32 ,4
4,,3.6GHz, 33.4 ,4,TRUE,,,33.4, 33 ,4
4,,3GHz, 34.6 ,4,TRUE,,,34.6, 35 ,4
